analysis,control,prototype_id,level,metric,n,mean,median,minimum,maximum,monotonic_triplet_count,monotonic_triplet_fraction,specimen_count,unique_signature_count,unique_signature_ratio,signature_round_decimals
level_distribution,backbone,proto_sw_3_1,compact,root_gap_max,30,0.2919191921,0.303030303,0.242424242,0.363636364,,,,,,
level_distribution,backbone,proto_sw_3_1,expanded,density_resource_D,30,0.42169887143333334,0.42659830200000004,0.165438292,0.706324648,,,,,,
level_distribution,backbone,proto_sw_3_1,expanded,l1_count,30,5.566666666666666,6.0,5.0,6.0,,,,,,
level_distribution,backbone,proto_sw_3_1,expanded,l2_count,30,1.6666666666666667,2.0,1.0,3.0,,,,,,
level_distribution,backbone,proto_sw_3_1,expanded,branchunit_count_evaluated,30,5.566666666666666,6.0,5.0,6.0,,,,,,
level_distribution,backbone,proto_sw_3_1,expanded,ordinary_total_length,30,1.5782525117937118,1.547028207521648,1.1355494617503052,2.1329132766982575,,,,,,
level_distribution,backbone,proto_sw_3_1,expanded,ordinary_mean_length,30,0.21833161730356107,0.22037295146902403,0.18513793048884408,0.2666141595872822,,,,,,
level_distribution,backbone,proto_sw_3_1,expanded,mean_backbone_excursion,30,0.09790183868779977,0.09881398359435228,0.06383088658205296,0.14288834001172787,,,,,,
level_distribution,backbone,proto_sw_3_1,expanded,vertical_span,30,0.7700931513,0.7635172025000001,0.5215487660000001,0.945329909,,,,,,
level_distribution,backbone,proto_sw_3_1,expanded,occupied_area_ratio,30,0.02640506974902534,0.026224415204678362,0.018994426169590642,0.033825612207602336,,,,,,
level_distribution,backbone,proto_sw_3_1,expanded,root_coverage_qcov,30,0.6747474747333333,0.681818182,0.575757576,0.727272728,,,,,,
level_distribution,backbone,proto_sw_3_1,expanded,root_gap_max,30,0.32525252526666665,0.318181818,0.272727272,0.424242424,,,,,,
level_distribution,backbone,proto_sw_3_1,swept,density_resource_D,30,0.4428572722666667,0.424581016,0.095304079,0.686166302,,,,,,
level_distribution,backbone,proto_sw_3_1,swept,l1_count,30,5.933333333333334,6.0,5.0,7.0,,,,,,
level_distribution,backbone,proto_sw_3_1,swept,l2_count,30,1.8,2.0,1.0,3.0,,,,,,
level_distribution,backbone,proto_sw_3_1,swept,branchunit_count_evaluated,30,5.933333333333334,6.0,5.0,7.0,,,,,,
level_distribution,backbone,proto_sw_3_1,swept,ordinary_total_length,30,1.5660368462525283,1.5353433552858868,1.1494702726766075,2.0013669098821176,,,,,,
level_distribution,backbone,proto_sw_3_1,swept,ordinary_mean_length,30,0.20395829639539662,0.19725697184219365,0.15706481127159527,0.25540264931038,,,,,,
level_distribution,backbone,proto_sw_3_1,swept,mean_backbone_excursion,30,0.08672009442529413,0.08778658852130147,0.0598107221956306,0.11067251257394972,,,,,,
level_distribution,backbone,proto_sw_3_1,swept,vertical_span,30,0.6664073555333334,0.6543573060000001,0.517416322,0.8318770799999999,,,,,,
level_distribution,backbone,proto_sw_3_1,swept,occupied_area_ratio,30,0.026508436890838205,0.026150173611111112,0.02044499269005848,0.03485357273391813,,,,,,
level_distribution,backbone,proto_sw_3_1,swept,root_coverage_qcov,30,0.6969696969,0.696969697,0.636363636,0.757575758,,,,,,
level_distribution,backbone,proto_sw_3_1,swept,root_gap_max,30,0.3030303031,0.303030303,0.242424242,0.363636364,,,,,,
level_distribution,backbone,proto_sw_3_2,compact,density_resource_D,30,0.4340142348666667,0.4288657115,0.187972553,0.693044437,,,,,,
level_distribution,backbone,proto_sw_3_2,compact,l1_count,30,6.0,6.0,5.0,7.0,,,,,,
level_distribution,backbone,proto_sw_3_2,compact,l2_count,30,1.8333333333333333,2.0,1.0,4.0,,,,,,
level_distribution,backbone,proto_sw_3_2,compact,branchunit_count_evaluated,30,6.0,6.0,5.0,7.0,,,,,,
level_distribution,backbone,proto_sw_3_2,compact,ordinary_total_length,30,1.575304796487103,1.5032301547187017,1.2841511425683558,1.9050024852809488,,,,,,
level_distribution,backbone,proto_sw_3_2,compact,ordinary_mean_length,30,0.2028832846964142,0.19735467792657818,0.17318204411644988,0.24482507474732615,,,,,,
level_distribution,backbone,proto_sw_3_2,compact,mean_backbone_excursion,30,0.07761368737283443,0.07647322187751433,0.060556893494306985,0.10634748167844423,,,,,,
level_distribution,backbone,proto_sw_3_2,compact,vertical_span,30,0.6054119429,0.6081465005,0.4817189569999999,0.7241471589999999,,,,,,
level_distribution,backbone,proto_sw_3_2,compact,occupied_area_ratio,30,0.027738372624269005,0.026569924159356724,0.022637975146198832,0.03343156067251462,,,,,,
level_distribution,backbone,proto_sw_3_2,compact,root_coverage_qcov,30,0.7191919192666667,0.727272727,0.6363636370000001,0.757575758,,,,,,
level_distribution,backbone,proto_sw_3_2,compact,root_gap_max,30,0.28080808073333335,0.272727273,0.242424242,0.3636363629999999,,,,,,
level_distribution,backbone,proto_sw_3_2,expanded,density_resource_D,30,0.4313907751,0.38389763050000003,0.201243482,0.696751764,,,,,,
level_distribution,backbone,proto_sw_3_2,expanded,l1_count,30,6.066666666666666,6.0,5.0,7.0,,,,,,
level_distribution,backbone,proto_sw_3_2,expanded,l2_count,30,1.9333333333333333,2.0,1.0,4.0,,,,,,
level_distribution,backbone,proto_sw_3_2,expanded,branchunit_count_evaluated,30,6.066666666666666,6.0,5.0,7.0,,,,,,
level_distribution,backbone,proto_sw_3_2,expanded,ordinary_total_length,30,1.603166265132433,1.5587114159672155,1.3173591568599095,1.9432578179925684,,,,,,
level_distribution,backbone,proto_sw_3_2,expanded,ordinary_mean_length,30,0.20167496544204278,0.19644936309477834,0.1754395780632191,0.2280010505969547,,,,,,
level_distribution,backbone,proto_sw_3_2,expanded,mean_backbone_excursion,30,0.08055517902698238,0.08037913838574198,0.06433589816409391,0.11038071143417137,,,,,,
level_distribution,backbone,proto_sw_3_2,expanded,vertical_span,30,0.5784680215999999,0.5733114804999999,0.35067657099999994,0.6892601329999999,,,,,,
level_distribution,backbone,proto_sw_3_2,expanded,occupied_area_ratio,30,0.028116433662280702,0.027443690606725146,0.023431789108187134,0.03433959247076023,,,,,,
level_distribution,backbone,proto_sw_3_2,expanded,root_coverage_qcov,30,0.6979797979666666,0.696969697,0.606060606,0.757575758,,,,,,
level_distribution,backbone,proto_sw_3_2,expanded,root_gap_max,30,0.3020202020333333,0.303030303,0.242424242,0.393939394,,,,,,
level_distribution,backbone,proto_sw_3_2,swept,density_resource_D,30,0.4446979229333333,0.41500256550000003,0.147760304,0.729116711,,,,,,
level_distribution,backbone,proto_sw_3_2,swept,l1_count,30,6.066666666666666,6.0,5.0,7.0,,,,,,
level_distribution,backbone,proto_sw_3_2,swept,l2_count,30,1.7666666666666666,2.0,1.0,3.0,,,,,,
level_distribution,backbone,proto_sw_3_2,swept,branchunit_count_evaluated,30,6.066666666666666,6.0,5.0,7.0,,,,,,
level_distribution,backbone,proto_sw_3_2,swept,ordinary_total_length,30,1.58058278915741,1.5059676262997512,1.327180758109696,1.8901177089160017,,,,,,
level_distribution,backbone,proto_sw_3_2,swept,ordinary_mean_length,30,0.20311192821252574,0.2032171837904585,0.18053899437266502,0.23199399450332148,,,,,,
level_distribution,backbone,proto_sw_3_2,swept,mean_backbone_excursion,30,0.07745862622095054,0.077517826676154,0.05419303608403233,0.10559333480890173,,,,,,
level_distribution,backbone,proto_sw_3_2,swept,vertical_span,30,0.6107309848666667,0.6075961150000001,0.4258913670000001,0.816182867,,,,,,
level_distribution,backbone,proto_sw_3_2,swept,occupied_area_ratio,30,0.027789199561403508,0.026475694444444444,0.023580272295321638,0.03319170321637427,,,,,,
level_distribution,backbone,proto_sw_3_2,swept,root_coverage_qcov,30,0.7060606062,0.696969697,0.6666666669999999,0.757575758,,,,,,
